epsilon_progress,nfe
0,0
75,100
419,1100
655,2100
840,3100
1050,4100
1249,5100
1385,6100
1529,7100
1681,8100
1823,9100
1942,12922
2907,16818
3787,20714
4591,24610
5303,28506
6006,32402
6680,36298
7286,40194
7809,44090
8259,47986
8699,51882
9109,55778
9466,59674
9794,63570
10089,67466
10384,71362
10628,75258
10837,79154
11062,83050
11292,86946
11473,90842
11630,94738
11784,98634
11915,102530
12059,106426
12173,110322
12289,114218
12394,118114
12491,122010
12587,125906
12673,129802
12761,133698
12832,137594
12905,141490
12976,145386
13046,149282
13107,153178
13167,157074
13230,160970
13279,164866
13331,168762
13376,172658
13426,176554
13467,180450
13500,184346
13546,188242
13583,192138
13624,196034
13656,199930
13685,203826
