Var1,Var2,S2,S2_conf
0_RfR 0,0_RfR 0,,
0_RfR 0,0_RfR 1,-0.13545133653698235,0.2190231101842517
0_RfR 0,1_RfR 0,-0.1670518596492951,0.2232336560910262
0_RfR 0,1_RfR 1,-0.3428640157113573,0.26284922716309517
0_RfR 0,2_RfR 0,-0.11547181041040223,0.33015603425702617
0_RfR 0,2_RfR 1,-0.1717233118219386,0.2059122230148348
0_RfR 0,3_RfR 0,-0.06654925546195414,0.2384113356977841
0_RfR 0,3_RfR 1,-0.18642067886052985,0.23739381425434974
0_RfR 0,4_RfR 0,-0.15036065865157727,0.21423254782389897
0_RfR 0,4_RfR 1,-0.24889056508434243,0.2433680143542102
0_RfR 0,A.1_DikeIncrease 0,0.1515142817213026,0.24469101521231756
0_RfR 0,A.1_DikeIncrease 1,-0.1366659363321557,0.23678011495214654
0_RfR 0,A.2_DikeIncrease 0,-0.17591213233777142,0.2766867230747998
0_RfR 0,A.2_DikeIncrease 1,-0.08544636203401604,0.21751989793512005
0_RfR 0,A.3_DikeIncrease 0,-0.16891263944940083,0.2691570616835053
0_RfR 0,A.3_DikeIncrease 1,-0.1189896304459138,0.19948737670011904
0_RfR 0,A.4_DikeIncrease 0,0.04350580503801552,0.21934095673658235
0_RfR 0,A.4_DikeIncrease 1,0.05022733628606602,0.28480145539388474
0_RfR 0,A.5_DikeIncrease 0,-0.07452546546313493,0.21429622036152252
0_RfR 0,A.5_DikeIncrease 1,-0.20096391121907206,0.24004692743220693
0_RfR 0,EWS_DaysToThreat,-0.2767873401705439,0.2789187356175503
0_RfR 1,0_RfR 0,,
0_RfR 1,0_RfR 1,,
0_RfR 1,1_RfR 0,0.007093686661927251,0.18840868167151795
0_RfR 1,1_RfR 1,-0.07551062102092092,0.21781879278724542
0_RfR 1,2_RfR 0,-0.1367809387307566,0.303564192576634
0_RfR 1,2_RfR 1,-0.04031403234786412,0.17934147905625875
0_RfR 1,3_RfR 0,0.04376964368868301,0.17398688923729944
0_RfR 1,3_RfR 1,-0.01481682387332376,0.1748511044184252
0_RfR 1,4_RfR 0,-0.01876225508507602,0.2006328909444253
0_RfR 1,4_RfR 1,-0.1557237399791991,0.2414156313473596
0_RfR 1,A.1_DikeIncrease 0,0.09050112795824636,0.23246782930909726
0_RfR 1,A.1_DikeIncrease 1,0.21843471136037718,0.24618180067851625
0_RfR 1,A.2_DikeIncrease 0,-0.05020004489999688,0.3067537260197656
0_RfR 1,A.2_DikeIncrease 1,0.014011614809458083,0.1947666452940613
0_RfR 1,A.3_DikeIncrease 0,0.003095115293241635,0.19359590504218838
0_RfR 1,A.3_DikeIncrease 1,0.12965298250432805,0.19460982744910565
0_RfR 1,A.4_DikeIncrease 0,0.09795791594046499,0.18150038505314733
0_RfR 1,A.4_DikeIncrease 1,-0.07616688891319082,0.26933513887040933
0_RfR 1,A.5_DikeIncrease 0,0.0387538576319799,0.28368219255754573
0_RfR 1,A.5_DikeIncrease 1,0.017546818165276572,0.19542559218988098
0_RfR 1,EWS_DaysToThreat,-0.11139987214256628,0.27675266584546604
1_RfR 0,0_RfR 0,,
1_RfR 0,0_RfR 1,,
1_RfR 0,1_RfR 0,,
1_RfR 0,1_RfR 1,-0.27656955354350105,0.20107703811601685
1_RfR 0,2_RfR 0,-0.17159599290220207,0.2036426282879556
1_RfR 0,2_RfR 1,-0.11364591093314255,0.11816060738141618
1_RfR 0,3_RfR 0,-0.05895178165603292,0.17285255205371408
1_RfR 0,3_RfR 1,-0.17687082846302993,0.1802097909316687
1_RfR 0,4_RfR 0,-0.05041936709845049,0.14136701831902007
1_RfR 0,4_RfR 1,-0.13716314471959185,0.17963399357959986
1_RfR 0,A.1_DikeIncrease 0,0.060963770800716036,0.12244433963255093
1_RfR 0,A.1_DikeIncrease 1,-0.03766276493371343,0.14852176911982906
1_RfR 0,A.2_DikeIncrease 0,0.10009245402296811,0.20882465164935377
1_RfR 0,A.2_DikeIncrease 1,-0.10057661806097598,0.11368447147679107
1_RfR 0,A.3_DikeIncrease 0,-0.21097246838796052,0.17521658058194445
1_RfR 0,A.3_DikeIncrease 1,-0.018758606903683486,0.13231335903533561
1_RfR 0,A.4_DikeIncrease 0,-0.02057816936735095,0.12125672999571895
1_RfR 0,A.4_DikeIncrease 1,-0.06027775947996452,0.14315608385923612
1_RfR 0,A.5_DikeIncrease 0,-0.01773850883498436,0.12673751142778436
1_RfR 0,A.5_DikeIncrease 1,0.09539656325022107,0.1549649402987468
1_RfR 0,EWS_DaysToThreat,-0.17880562931684335,0.207381761163775
1_RfR 1,0_RfR 0,,
1_RfR 1,0_RfR 1,,
1_RfR 1,1_RfR 0,,
1_RfR 1,1_RfR 1,,
1_RfR 1,2_RfR 0,-0.31001639752662724,0.2563209925091984
1_RfR 1,2_RfR 1,-0.10938794794006029,0.23006644990990818
1_RfR 1,3_RfR 0,-0.34955958070296855,0.19336932718322472
1_RfR 1,3_RfR 1,-0.25598326345969724,0.29381657124361277
1_RfR 1,4_RfR 0,-0.2406344928871922,0.21965476800474734
1_RfR 1,4_RfR 1,-0.2342004197989419,0.21783655119134307
1_RfR 1,A.1_DikeIncrease 0,-0.1502904313009246,0.21711845677493344
1_RfR 1,A.1_DikeIncrease 1,-0.21574533822718903,0.22668456466083853
1_RfR 1,A.2_DikeIncrease 0,-0.2299130370853481,0.24573959199007908
1_RfR 1,A.2_DikeIncrease 1,-0.048327595012944875,0.22469672536226667
1_RfR 1,A.3_DikeIncrease 0,-0.25832168091262453,0.27239760915084443
