0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.4_Total Costs,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Total Costs,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Overijssel_Deaths,Overijssel_Damages,Overijssel_Investment,Overijssel_RfR_num
0,0,0,0,0,0,1,1,0,0,1,1,4,0,3,2,2,0,0,0,0,0.0,0.0,0.0,0.0,361490424.933604,0.0,361490424.933604,0.1360077082101377,242400000.0,17934.305333263554,0.1360077082101377,361490424.933604,0.0,1
0,0,0,0,0,0,0,0,0,0,2,5,1,0,1,0,2,0,0,4,0,0.0,0.0,0.0,0.0,528062535.56220126,33377116.55719709,494685419.00500417,0.0823358985883078,0.0,39016.08152986155,0.0823358985883078,494685419.00500417,33377116.55719709,0
0,0,0,0,0,0,1,1,0,0,1,1,4,0,3,2,0,0,0,5,0,0.0,0.0,0.0,0.0,154643808.84714693,36676675.840294495,117967133.00685243,0.0464232723720343,242400000.0,6293.843636646694,0.0464232723720343,117967133.00685243,36676675.840294495,1
0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,4,4,0,0,5,0,0.0,0.0,0.0,0.0,248191618.42775828,36676675.840294495,211514942.5874638,0.084984040512463,121200000.0,12419.441227609455,0.084984040512463,211514942.5874638,36676675.840294495,1
0,0,0,0,0,0,0,0,0,0,1,5,5,0,1,0,1,2,0,1,0,7332080.219521779,7332080.219521779,0.0,0.0,531961222.96942925,25037214.086173728,506924008.88325554,0.2021896387641592,0.0,24163.95194965104,0.2021896387641592,506924008.88325554,32369294.305695508,0
0,0,0,0,1,1,1,0,0,0,1,5,0,3,1,5,5,0,0,3,0,930235.6436500376,0.0,930235.6436500376,0.00024062649717,381368420.09416986,30351526.042379983,351016894.0517899,0.1403430998375628,182600000.0,15170.86640590406,0.1405837263347328,351947129.69543993,30351526.042379983,1
0,0,0,0,0,0,0,1,0,0,1,4,3,3,3,4,5,0,0,5,0,578768.6550678151,0.0,578768.6550678151,0.0001215431356532,270691310.6503104,36676675.840294495,234014634.8100159,0.0951181980545096,121200000.0,9930.70051700234,0.0952397411901628,234593403.4650837,36676675.840294495,0
0,0,0,0,1,0,1,0,0,0,1,5,2,0,1,4,2,0,0,3,0,0.0,0.0,0.0,0.0,369802815.7975811,30351526.042379983,339451289.7552011,0.1345890548655383,151900000.0,16089.488756843488,0.1345890548655383,339451289.7552011,30351526.042379983,1
0,0,0,0,0,0,1,1,0,0,2,1,0,3,0,4,1,0,0,2,0,0.0,0.0,0.0,0.0,307949602.19455427,27578229.96765524,280371372.226899,0.0451033583987496,242400000.0,21132.752434098016,0.0451033583987496,280371372.226899,27578229.96765524,1
0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,5,3,0,1,5,0,6320800.309666242,6320800.309666242,0.0,0.0,460037461.7654958,36676675.840294495,423360785.9252013,0.1728862241065727,0.0,17849.746560169013,0.1728862241065727,423360785.9252013,42997476.14996074,0
0,0,0,0,0,0,1,1,0,0,1,2,0,1,3,4,5,0,0,5,0,0.0,0.0,0.0,0.0,158655033.97637874,36676675.840294495,121978358.13608424,0.0487208340419333,242400000.0,5845.459331843696,0.0487208340419333,121978358.13608424,36676675.840294495,1
0,0,0,0,0,0,1,1,0,0,1,0,0,1,5,0,5,0,4,0,0,9695195.36216505,9695195.36216505,0.0,0.0,364961277.4374548,0.0,364961277.4374548,0.1380761974368804,242400000.0,17672.07901023283,0.1380761974368804,364961277.4374548,9695195.36216505,1
0,0,0,0,0,0,1,1,0,0,1,2,0,3,2,4,0,0,0,0,0,0.0,0.0,0.0,0.0,368356833.7620857,0.0,368356833.7620857,0.1400089747277207,242400000.0,16966.81788365473,0.1400089747277207,368356833.7620857,0.0,1
0,0,0,0,0,0,1,1,0,0,1,1,2,0,1,0,2,0,0,2,0,0.0,0.0,0.0,0.0,296853584.07285166,27578229.96765524,269275354.1051964,0.1026957297488497,242400000.0,14174.270361887124,0.1026957297488497,269275354.1051964,27578229.96765524,1
0,0,0,0,1,1,0,0,0,0,1,1,0,3,4,5,4,0,0,5,0,2713384.6118496256,0.0,2713384.6118496256,0.0007053747366901,461137040.9697869,36676675.840294495,424460365.1294924,0.1737419688333283,61400000.0,17816.7119466284,0.1744473435700184,427173749.741342,36676675.840294495,0
0,0,0,0,0,0,0,1,0,0,2,3,0,1,1,1,3,0,0,0,0,0.0,0.0,0.0,0.0,431414381.5575369,0.0,431414381.5575369,0.0701333778385667,121200000.0,33274.10614523241,0.0701333778385667,431414381.5575369,0.0,0
0,0,0,0,0,1,1,1,0,0,2,1,1,2,0,0,2,0,0,2,0,0.0,0.0,0.0,0.0,306267872.7824497,27578229.96765524,278689642.8147945,0.0447834986000039,273100000.0,21362.195877181624,0.0447834986000039,278689642.8147945,27578229.96765524,1
0,0,0,0,0,0,0,0,0,0,1,1,5,4,3,5,1,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,462233146.97959983,36676675.840294495,425556471.13930535,0.1742083112505638,0.0,17744.7199083948,0.1742083112505638,425556471.13930535,42997476.14996074,0
0,0,0,0,1,0,0,1,0,0,1,1,2,1,0,5,0,0,0,5,0,0.0,0.0,0.0,0.0,263210020.00310928,36676675.840294495,226533344.1628148,0.0918041313023341,151900000.0,10459.704086651192,0.0918041313023341,226533344.1628148,36676675.840294495,0
0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,4,2,0,0,4,0,0.0,0.0,0.0,0.0,209192327.3019009,33377116.55719709,175815210.74470377,0.0687785026401382,242400000.0,10323.25983003745,0.0687785026401382,175815210.74470377,33377116.55719709,1
0,0,0,0,0,0,1,0,0,0,2,4,5,3,4,4,4,0,1,3,0,6320800.309666242,6320800.309666242,0.0,0.0,381039457.019868,30351526.042379983,350687930.977488,0.0583539628098128,121200000.0,25189.604197446053,0.0583539628098128,350687930.977488,36672326.35204622,1
0,0,0,0,0,0,1,1,0,0,2,1,3,1,2,3,0,0,0,2,0,0.0,0.0,0.0,0.0,305094418.4953044,27578229.96765524,277516188.5276492,0.0443934813788812,242400000.0,21994.544764342067,0.0443934813788812,277516188.5276492,27578229.96765524,1
0,0,0,0,0,0,0,0,0,0,2,5,5,1,3,4,0,0,1,0,0,6320800.309666242,6320800.309666242,0.0,0.0,524606671.1037741,0.0,524606671.1037741,0.0875006435580271,0.0,38240.5710905795,0.0875006435580271,524606671.1037741,6320800.309666242,0
0,0,0,0,0,0,1,1,0,0,1,0,1,1,2,0,2,0,4,0,1,9695195.36216505,9695195.36216505,0.0,0.0,389998491.5236285,25037214.086173728,364961277.4374548,0.1380761974368804,242400000.0,17665.36456221965,0.1380761974368804,364961277.4374548,34732409.44833878,1
0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,5,5,0,0,4,0,1063317.1205287334,0.0,1063317.1205287334,0.0002700984958331,550168947.0856066,33377116.55719709,516791830.5284095,0.2085076373833425,0.0,22294.05548480975,0.20877773587917559,517855147.64893824,33377116.55719709,0
0,0,0,0,0,0,1,1,0,0,1,4,0,1,1,0,3,0,3,2,0,8453407.696608048,8453407.696608048,0.0,0.0,303508892.4502949,27578229.96765524,275930662.4826397,0.1059315829357038,242400000.0,13494.033493360932,0.1059315829357038,275930662.4826397,36031637.66426329,1
0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,4,1,0,0,5,0,0.0,0.0,0.0,0.0,155628968.9709993,36676675.840294495,118952293.1307048,0.0477849836942988,273100000.0,5834.036205501643,0.0477849836942988,118952293.1307048,36676675.840294495,1
0,0,0,0,0,0,1,1,0,0,2,2,5,0,2,2,1,0,0,0,0,0.0,0.0,0.0,0.0,360033148.2462704,0.0,360033148.2462704,0.0564464030510687,242400000.0,30053.591807326186,0.0564464030510687,360033148.2462704,0.0,1
0,0,0,0,0,0,0,0,0,0,2,5,5,2,4,5,0,0,0,4,0,1682809.3485248173,0.0,1682809.3485248173,0.0001474655230888,549922409.6581028,33377116.55719709,516545293.10090566,0.0867153685492711,0.0,36902.14536612161,0.0868628340723599,518228102.44943047,33377116.55719709,0
0,0,0,0,0,1,1,1,0,0,1,2,2,0,0,4,1,0,0,0,0,0.0,0.0,0.0,0.0,354973370.3195691,0.0,354973370.3195691,0.1339638638381288,273100000.0,17837.943992083965,0.1339638638381288,354973370.3195691,0.0,1
0,0,0,0,0,0,1,1,0,0,1,5,4,2,0,3,2,0,0,2,0,0.0,0.0,0.0,0.0,305595937.6631649,27578229.96765524,278017707.6955097,0.1071753783818534,242400000.0,13066.503753426065,0.1071753783818534,278017707.6955097,27578229.96765524,1
0,0,0,0,0,0,1,0,0,0,1,4,3,3,1,3,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,437849145.9772644,0.0,437849145.9772644,0.1715051434000368,121200000.0,19494.060721160808,0.1715051434000368,437849145.9772644,6320800.309666242,1
0,0,0,0,0,0,0,0,0,0,2,5,0,1,3,3,5,0,0,5,0,1675428.0144974417,0.0,1675428.0144974417,0.0001464406171986,454202380.0950012,36676675.840294495,417525704.2547067,0.0706555688434968,0.0,30111.0330492715,0.0708020094606954,419201132.26920414,36676675.840294495,0
0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,3,5,0,0,0,0,0.0,0.0,0.0,0.0,421589472.6400981,0.0,421589472.6400981,0.0684181584626762,151900000.0,34447.1586819146,0.0684181584626762,421589472.6400981,0.0,1
0,0,0,0,1,0,1,1,0,0,1,2,2,0,1,4,1,0,0,2,0,0.0,0.0,0.0,0.0,299623275.1450586,27578229.96765524,272045045.17740333,0.1040583680716616,273100000.0,13377.082830918976,0.1040583680716616,272045045.17740333,27578229.96765524,1
0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4,4,0,0,0,0,1675428.0144974417,0.0,1675428.0144974417,0.0003514574812768,524183181.6509147,0.0,524183181.6509147,0.2098446938092063,0.0,23076.91881295538,0.2101961512904831,525858609.6654122,0.0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,0,0,1,5,0,6320800.309666242,6320800.309666242,0.0,0.0,453156845.8656609,36676675.840294495,416480170.0253664,0.169186123449972,0.0,18152.34030456692,0.169186123449972,416480170.0253664,42997476.14996074,0
0,0,0,0,0,0,1,1,0,0,1,1,5,1,4,5,1,0,0,0,0,0.0,0.0,0.0,0.0,365501650.0628358,0.0,365501650.0628358,0.1383052698800366,242400000.0,17485.921028460558,0.1383052698800366,365501650.0628358,0.0,1
0,0,0,0,0,0,0,0,0,0,2,4,5,1,4,4,5,0,0,0,0,1682809.3485248173,0.0,1682809.3485248173,0.0001474655230888,524183181.6509147,0.0,524183181.6509147,0.0874352890871693,0.0,38221.11691021819,0.08758275461025809,525865990.99943954,0.0,0
0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,5,4,0,0,4,0,658355.1862739522,0.0,658355.1862739522,0.0001350492479165,548876875.4287626,33377116.55719709,515499758.8715655,0.2077296427438305,0.0,22319.45810817389,0.20786469199174698,516158114.05783945,33377116.55719709,0
0,0,0,0,0,1,1,1,0,0,1,5,0,2,1,3,0,0,0,4,0,0.0,0.0,0.0,0.0,225498998.6187825,33377116.55719709,192121882.06158537,0.0760919220025738,273100000.0,8540.29299689106,0.0760919220025738,192121882.06158537,33377116.55719709,1
0,0,0,0,0,0,1,0,0,0,1,2,2,2,0,2,5,0,0,0,0,0.0,0.0,0.0,0.0,433873752.41692287,0.0,433873752.41692287,0.1697892373503533,121200000.0,19715.12617957415,0.1697892373503533,433873752.41692287,0.0,1
0,0,0,0,0,0,1,1,0,0,1,5,0,2,4,5,1,0,0,0,0,0.0,0.0,0.0,0.0,367460445.9180299,0.0,367460445.9180299,0.1394726338401479,242400000.0,17135.381968451184,0.1394726338401479,367460445.9180299,0.0,1
0,0,0,0,0,0,1,1,0,0,2,2,0,2,4,4,0,0,0,2,0,0.0,0.0,0.0,0.0,307465337.61820364,27578229.96765524,279887107.6505484,0.0449434834277267,242400000.0,21343.373582868324,0.0449434834277267,279887107.6505484,27578229.96765524,1
0,0,0,0,0,0,1,0,0,0,2,2,4,3,1,2,2,0,1,0,0,6320800.309666242,6320800.309666242,0.0,0.0,437849145.9772644,0.0,437849145.9772644,0.071460476416682,121200000.0,32363.186744114624,0.071460476416682,437849145.9772644,6320800.309666242,1
0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,4,2,0,0,4,0,0.0,0.0,0.0,0.0,546776327.1935655,33377116.55719709,513399210.6363684,0.2069516481043185,0.0,22344.86073153804,0.2069516481043185,513399210.6363684,33377116.55719709,0
0,0,0,0,1,0,0,1,0,0,1,2,1,1,5,5,4,0,0,5,0,578768.6550678151,0.0,578768.6550678151,0.0001215431356532,268300923.20577097,36676675.840294495,231624247.3654765,0.0936842797039868,151900000.0,10164.178674407853,0.09380582283964,232203016.0205443,36676675.840294495,0
0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,2,2,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,461329533.4223398,36676675.840294495,424652857.5820453,0.072360091144202,0.0,29554.415727394186,0.072360091144202,424652857.5820453,42997476.14996074,0
0,0,0,0,1,1,0,1,0,0,2,5,1,2,3,2,5,1,0,3,0,6320800.309666242,6320800.309666242,0.0,0.0,381070751.62538016,30351526.042379983,350719225.5830002,0.0583618142304381,182600000.0,25188.60894421002,0.0583618142304381,350719225.5830002,36672326.35204622,0
0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,2,0,0,0,3,0,0.0,0.0,0.0,0.0,365598751.4511962,30351526.042379983,335247225.4088162,0.1325027074527747,121200000.0,16879.87626552243,0.1325027074527747,335247225.4088162,30351526.042379983,1
0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,4,1,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,530898211.7105483,0.0,530898211.7105483,0.2137829063737809,0.0,22783.72377480362,0.2137829063737809,530898211.7105483,6320800.309666242,0
0,0,0,0,1,0,0,1,0,0,2,5,1,2,0,3,5,0,0,3,0,0.0,0.0,0.0,0.0,379053762.9820126,30351526.042379983,348702236.93963265,0.0580339611673243,151900000.0,25402.98230845895,0.0580339611673243,348702236.93963265,30351526.042379983,0
0,0,0,0,0,0,1,1,0,0,2,2,5,0,2,5,1,0,0,2,0,0.0,0.0,0.0,0.0,300038039.9464441,27578229.96765524,272459809.97878885,0.0432762890454004,242400000.0,22949.55391913298,0.0432762890454004,272459809.97878885,27578229.96765524,1
0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,5,2,1,0,4,0,6320800.309666242,6320800.309666242,0.0,0.0,545346430.1610318,33377116.55719709,511969313.6038348,0.0855293200222107,0.0,37258.67662866219,0.0855293200222107,511969313.6038348,39697916.86686333,0
