0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.4_Total Costs,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Total Costs,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Overijssel_Deaths,Overijssel_Damages,Overijssel_Investment,Overijssel_RfR_num
0,0,0,0,0,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,50493001.90213199,0.0,50493001.90213199,0.0034537440807865,0.0,0.0,0.0,0.0,785300000.0,4278.805879182529,0.0034537440807865,50493001.90213199,0.0,2
0,0,0,0,1,0,1,1,0,0,2,1,1,1,0,1,0,4,0,0,0,62136272.16076757,9695195.36216505,52441076.79860252,0.0041631064681246,0.0,0.0,0.0,0.0,273100000.0,4243.446034114626,0.0041631064681246,52441076.79860252,9695195.36216505,1
0,0,0,0,0,1,1,1,0,0,2,2,4,1,0,3,5,0,0,0,0,61965690.01875767,0.0,61965690.01875767,0.0046334676826127,0.0,0.0,0.0,0.0,273100000.0,5075.524429768457,0.0046334676826127,61965690.01875767,0.0,1
0,0,0,0,1,1,0,1,0,0,3,2,5,0,0,1,3,0,0,0,3,71066125.44680576,0.0,71066125.44680576,0.0044530320462087,30351526.042379983,30351526.042379983,0.0,0.0,182600000.0,7502.4519747309505,0.0044530320462087,71066125.44680576,30351526.042379983,0
0,0,0,0,0,0,1,1,1,1,2,5,4,1,5,0,0,4,0,0,0,50619420.39756484,9695195.36216505,40924225.0353998,0.002978104510373,0.0,0.0,0.0,0.0,754600000.0,3661.4511829016974,0.002978104510373,40924225.0353998,9695195.36216505,2
0,0,0,0,0,0,0,0,0,0,3,1,3,0,2,4,4,5,0,0,0,76791787.74636053,11068771.68625446,65723016.06010606,0.0044368588081473,0.0,0.0,0.0,0.0,0.0,7268.083933137739,0.0044368588081473,65723016.06010606,11068771.68625446,0
0,0,0,0,1,0,1,1,1,0,2,3,5,1,0,3,0,5,0,0,0,42787374.32737065,11068771.68625446,31718602.64111619,0.0025403445160398,0.0,0.0,0.0,0.0,529200000.0,2631.719948726234,0.0025403445160398,31718602.64111619,11068771.68625446,2
0,0,0,0,1,1,1,0,0,0,2,5,5,0,1,3,0,4,0,0,0,68935472.72717278,9695195.36216505,59240277.36500772,0.0048693133391672,0.0,0.0,0.0,0.0,182600000.0,4875.576947866104,0.0048693133391672,59240277.36500772,9695195.36216505,1
0,0,0,0,0,0,1,1,1,1,1,2,2,0,0,1,2,5,0,0,0,33289734.818092503,11068771.68625446,22220963.13183805,0.0041874034836812,0.0,0.0,0.0,0.0,754600000.0,1573.8758085474033,0.0041874034836812,22220963.13183805,11068771.68625446,2
0,0,0,0,0,0,1,1,1,1,2,1,1,0,5,0,0,4,0,0,0,50393706.5447904,9695195.36216505,40698511.18262535,0.0029553984758601,0.0,0.0,0.0,0.0,754600000.0,3828.1375787961824,0.0029553984758601,40698511.18262535,9695195.36216505,2
0,0,0,0,1,1,0,0,0,0,3,4,5,0,3,3,2,5,0,0,0,77175704.95819198,11068771.68625446,66106933.27193752,0.0044876813337192,0.0,0.0,0.0,0.0,61400000.0,6738.8691228529015,0.0044876813337192,66106933.27193752,11068771.68625446,0
0,0,0,0,0,1,1,0,0,0,3,1,2,1,0,1,1,5,1,1,5,67710116.26795873,18545877.78115268,49164238.48680605,0.0032800346867752,62967163.32200457,62967163.32200457,0.0,0.0,151900000.0,5125.708041660575,0.0032800346867752,49164238.48680605,81513041.10315725,1
1,0,0,0,1,0,1,1,1,0,3,4,5,4,5,0,1,1,0,0,2,62611569.62803513,6320800.309666242,56290769.31836889,0.0032394223059635,27578229.96765524,27578229.96765524,0.0,0.0,613800000.0,5594.93449565677,0.0032394223059635,56290769.31836889,33899030.27732149,2
0,0,0,1,1,0,1,1,0,0,3,2,3,0,1,5,0,5,0,4,3,63414851.80080591,11068771.68625446,52346080.11455145,0.0033179096210844,68094717.76275629,68094717.76275629,0.0,0.0,490900000.0,5699.532063517533,0.0033179096210844,52346080.11455145,79163489.44901074,1
1,0,0,1,0,1,1,1,1,0,3,5,4,0,5,0,1,4,0,0,2,56336483.60367628,9695195.36216505,46641288.24151123,0.002847496433159,27578229.96765524,27578229.96765524,0.0,0.0,831600000.0,5097.6479598330425,0.002847496433159,46641288.24151123,37273425.32982029,2
0,1,0,0,0,1,1,1,1,1,3,1,2,5,2,4,5,1,0,0,0,56871883.72187676,6320800.309666242,50551083.41221052,0.0027706840291343,0.0,0.0,0.0,0.0,869900000.0,5096.4675625268,0.0027706840291343,50551083.41221052,6320800.309666242,2
0,0,0,0,0,0,1,0,1,0,4,4,3,3,1,1,5,4,0,0,5,63340939.57203015,9695195.36216505,53645744.2098651,0.0034331957711444,36676675.840294495,36676675.840294495,0.0,0.0,377300000.0,6209.498927294484,0.0034331957711444,53645744.2098651,46371871.202459544,2
1,0,0,1,0,1,1,1,1,0,3,5,4,0,5,0,1,4,0,0,2,56336483.60367628,9695195.36216505,46641288.24151123,0.002847496433159,27578229.96765524,27578229.96765524,0.0,0.0,831600000.0,5097.6479598330425,0.002847496433159,46641288.24151123,37273425.32982029,2
0,0,0,0,0,1,1,1,1,1,3,1,2,2,2,4,5,1,0,0,0,56871883.72187676,6320800.309666242,50551083.41221052,0.0027706840291343,0.0,0.0,0.0,0.0,785300000.0,5096.4675625268,0.0027706840291343,50551083.41221052,6320800.309666242,2
0,0,0,0,0,0,1,1,0,1,3,5,5,0,1,0,1,0,1,0,0,62244126.42264791,6320800.309666242,55923326.11298167,0.0032007109005482,0.0,0.0,0.0,0.0,498500000.0,6438.599735071446,0.0032007109005482,55923326.11298167,6320800.309666242,1
0,0,0,0,0,1,1,0,0,0,3,0,0,2,2,3,4,0,0,0,0,71274669.4424728,0.0,71274669.4424728,0.0044806388641007,0.0,0.0,0.0,0.0,151900000.0,6990.62733605221,0.0044806388641007,71274669.4424728,0.0,1
0,0,0,0,1,1,1,0,0,0,3,2,5,0,0,5,4,5,0,0,2,70233817.80846792,11068771.68625446,59165046.12221347,0.0038854916446403,27578229.96765524,27578229.96765524,0.0,0.0,182600000.0,6259.629547264512,0.0038854916446403,59165046.12221347,38647001.6539097,1
0,1,0,1,0,1,1,1,1,1,2,1,2,3,3,1,3,1,0,0,0,56871883.72187676,6320800.309666242,50551083.41221052,0.0034633550364179,0.0,0.0,0.0,0.0,1087700000.0,4102.27029180661,0.0034633550364179,50551083.41221052,6320800.309666242,2
